Name,Team,AL/NL,PA,OBP,SLG,OPS,BABIP,O-Contact%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Barrel%,AVG,BB%,K%,playerid
Aaron Judge,NYY,AL,696,0.425,0.686,1.111,0.34,0.517,0.268,0.676,0.425,0.517,0.852,0.262,0.311,0.159,0.251,15640
Yordan Alvarez,HOU,AL,561,0.406,0.613,1.019,0.32,0.625,0.275,0.668,0.426,0.625,0.896,0.21,0.306,0.139,0.189,19556
Paul Goldschmidt,STL,NL,651,0.404,0.578,0.981,0.368,0.677,0.276,0.617,0.417,0.677,0.818,0.115,0.317,0.121,0.217,9218
Jose Altuve,HOU,AL,604,0.387,0.533,0.921,0.315,0.768,0.314,0.65,0.438,0.768,0.91,0.077,0.3,0.109,0.144,5417
Freddie Freeman,LAD,NL,708,0.407,0.511,0.918,0.359,0.75,0.313,0.761,0.493,0.75,0.88,0.101,0.325,0.119,0.144,5361
Manny Machado,SDP,NL,644,0.366,0.531,0.898,0.337,0.643,0.342,0.77,0.508,0.643,0.856,0.098,0.298,0.098,0.207,11493
Nolan Arenado,STL,NL,620,0.358,0.533,0.891,0.29,0.721,0.361,0.68,0.484,0.721,0.908,0.082,0.293,0.084,0.116,9777
Austin Riley,ATL,NL,693,0.349,0.528,0.878,0.315,0.575,0.345,0.773,0.516,0.575,0.859,0.157,0.273,0.082,0.242,18360
Juan Soto,- - -,,664,0.401,0.452,0.853,0.249,0.71,0.199,0.591,0.353,0.71,0.892,0.124,0.242,0.203,0.145,20123
Mookie Betts,LAD,NL,639,0.34,0.533,0.873,0.272,0.676,0.26,0.696,0.442,0.676,0.939,0.097,0.269,0.086,0.163,13611
Rafael Devers,BOS,AL,614,0.358,0.521,0.879,0.329,0.662,0.403,0.773,0.545,0.662,0.804,0.115,0.295,0.08,0.186,17350
Shohei Ohtani,LAA,AL,666,0.356,0.519,0.875,0.32,0.625,0.32,0.745,0.493,0.625,0.818,0.168,0.273,0.108,0.242,19755
Nathaniel Lowe,TEX,AL,645,0.358,0.492,0.851,0.363,0.659,0.349,0.75,0.522,0.659,0.867,0.099,0.302,0.074,0.228,19566
Julio Rodriguez,SEA,AL,560,0.345,0.509,0.853,0.345,0.586,0.371,0.714,0.502,0.586,0.819,0.131,0.284,0.071,0.259,23697
Yandy Diaz,TBR,AL,558,0.401,0.423,0.824,0.323,0.74,0.231,0.657,0.413,0.74,0.932,0.048,0.296,0.14,0.108,16578
Pete Alonso,NYM,NL,685,0.352,0.518,0.869,0.279,0.677,0.36,0.742,0.499,0.677,0.878,0.123,0.271,0.098,0.187,19251
Jeff McNeil,NYM,NL,589,0.382,0.454,0.836,0.353,0.795,0.338,0.788,0.533,0.795,0.896,0.027,0.326,0.068,0.104,15362
Andres Gimenez,CLE,AL,557,0.371,0.466,0.837,0.353,0.655,0.408,0.703,0.525,0.655,0.839,0.062,0.297,0.061,0.201,19950
Xander Bogaerts,BOS,AL,631,0.377,0.456,0.833,0.362,0.661,0.319,0.66,0.457,0.661,0.846,0.065,0.307,0.09,0.187,12161
Jose Ramirez,CLE,AL,685,0.355,0.514,0.869,0.279,0.78,0.323,0.679,0.461,0.78,0.923,0.066,0.28,0.101,0.12,13510
Carlos Correa,MIN,AL,590,0.366,0.467,0.834,0.339,0.679,0.308,0.643,0.444,0.679,0.881,0.114,0.291,0.103,0.205,14162
Taylor Ward,LAA,AL,564,0.36,0.473,0.833,0.325,0.65,0.236,0.661,0.414,0.65,0.874,0.121,0.281,0.106,0.213,17548
Jose Abreu,CHW,AL,679,0.378,0.446,0.824,0.35,0.664,0.336,0.665,0.473,0.664,0.884,0.095,0.304,0.091,0.162,15676
Alex Bregman,HOU,AL,656,0.366,0.454,0.82,0.26,0.745,0.218,0.695,0.403,0.745,0.92,0.073,0.259,0.133,0.117,17678
Starling Marte,NYM,NL,505,0.347,0.468,0.814,0.34,0.656,0.36,0.685,0.493,0.656,0.876,0.068,0.292,0.051,0.192,9241
Kyle Schwarber,PHI,NL,669,0.323,0.504,0.827,0.24,0.583,0.25,0.621,0.403,0.583,0.81,0.201,0.218,0.129,0.299,16478
J.T. Realmuto,PHI,NL,562,0.342,0.478,0.82,0.318,0.666,0.35,0.692,0.49,0.666,0.839,0.113,0.276,0.073,0.212,11739
Brandon Nimmo,NYM,NL,673,0.367,0.433,0.8,0.317,0.697,0.261,0.66,0.437,0.697,0.891,0.07,0.274,0.105,0.172,12927
Anthony Rizzo,NYY,AL,548,0.338,0.48,0.817,0.216,0.651,0.321,0.656,0.459,0.651,0.881,0.109,0.224,0.106,0.184,3473
George Springer,TOR,AL,583,0.342,0.472,0.814,0.285,0.584,0.301,0.789,0.508,0.584,0.818,0.083,0.267,0.093,0.172,12856
Vladimir Guerrero Jr.,TOR,AL,706,0.339,0.48,0.818,0.289,0.649,0.342,0.737,0.497,0.649,0.874,0.112,0.274,0.082,0.164,19611
Trea Turner,LAD,NL,708,0.343,0.466,0.809,0.342,0.607,0.364,0.745,0.511,0.607,0.859,0.076,0.298,0.064,0.185,16252
Brandon Drury,- - -,,568,0.32,0.492,0.813,0.293,0.704,0.324,0.648,0.459,0.704,0.889,0.104,0.263,0.067,0.222,11615
Luis Arraez,MIN,AL,603,0.375,0.42,0.795,0.331,0.911,0.286,0.631,0.427,0.911,0.96,0.036,0.316,0.083,0.071,18568
Bryan Reynolds,PIT,NL,614,0.345,0.461,0.807,0.306,0.565,0.356,0.745,0.504,0.565,0.88,0.079,0.262,0.091,0.23,19326
Will Smith,LAD,NL,578,0.343,0.465,0.807,0.276,0.749,0.254,0.662,0.426,0.749,0.875,0.103,0.26,0.097,0.166,19197
Teoscar Hernandez,TOR,AL,535,0.316,0.491,0.807,0.335,0.512,0.336,0.716,0.489,0.512,0.798,0.15,0.267,0.064,0.284,13066
Kyle Tucker,HOU,AL,609,0.33,0.478,0.808,0.261,0.664,0.302,0.84,0.525,0.664,0.888,0.101,0.257,0.097,0.156,18345
Bo Bichette,TOR,AL,697,0.333,0.469,0.802,0.347,0.661,0.386,0.805,0.56,0.661,0.888,0.096,0.29,0.059,0.222,19612
Alejandro Kirk,TOR,AL,541,0.372,0.415,0.786,0.299,0.774,0.263,0.619,0.41,0.774,0.909,0.067,0.285,0.116,0.107,22581
Hunter Renfroe,MIL,NL,522,0.315,0.492,0.807,0.281,0.636,0.344,0.676,0.477,0.636,0.84,0.109,0.255,0.075,0.232,15464
Christian Walker,ARI,NL,667,0.327,0.477,0.804,0.248,0.577,0.272,0.701,0.447,0.577,0.882,0.115,0.242,0.103,0.196,13419
Rhys Hoskins,PHI,NL,672,0.332,0.462,0.794,0.292,0.581,0.258,0.639,0.418,0.581,0.864,0.111,0.246,0.107,0.251,16472
Eugenio Suarez,SEA,AL,629,0.332,0.459,0.791,0.302,0.497,0.247,0.658,0.418,0.497,0.798,0.148,0.236,0.116,0.312,12552
Matt Olson,ATL,NL,699,0.325,0.477,0.802,0.274,0.668,0.328,0.754,0.495,0.668,0.792,0.136,0.24,0.107,0.243,14344
Josh Bell,- - -,,647,0.362,0.422,0.784,0.296,0.717,0.291,0.701,0.453,0.717,0.863,0.072,0.266,0.125,0.158,13145
Mark Canha,NYM,NL,542,0.367,0.403,0.77,0.309,0.732,0.277,0.633,0.428,0.732,0.842,0.049,0.266,0.089,0.179,11445
J.D. Martinez,BOS,AL,596,0.341,0.448,0.79,0.345,0.58,0.349,0.781,0.519,0.58,0.812,0.124,0.274,0.087,0.243,6184
Justin Turner,LAD,NL,532,0.35,0.438,0.788,0.313,0.734,0.313,0.725,0.483,0.734,0.867,0.08,0.278,0.094,0.167,5235
Andrew Benintendi,- - -,,521,0.373,0.399,0.772,0.352,0.734,0.279,0.749,0.481,0.734,0.855,0.051,0.304,0.1,0.148,17901
Francisco Lindor,NYM,NL,706,0.339,0.449,0.788,0.301,0.667,0.338,0.69,0.477,0.667,0.881,0.083,0.27,0.084,0.188,12916
Steven Kwan,CLE,AL,638,0.373,0.4,0.772,0.323,0.85,0.233,0.553,0.377,0.85,0.954,0.014,0.298,0.097,0.094,24610
Ian Happ,CHC,NL,641,0.342,0.44,0.781,0.336,0.621,0.307,0.746,0.49,0.621,0.837,0.065,0.271,0.09,0.232,17919
Ty France,SEA,AL,613,0.34,0.437,0.777,0.299,0.674,0.358,0.785,0.524,0.674,0.929,0.054,0.276,0.057,0.153,17982
Dansby Swanson,ATL,NL,696,0.329,0.447,0.776,0.348,0.571,0.314,0.746,0.495,0.571,0.804,0.108,0.277,0.07,0.261,18314
Anthony Santander,BAL,AL,647,0.318,0.455,0.773,0.248,0.71,0.35,0.683,0.477,0.71,0.886,0.116,0.24,0.085,0.189,14551
Randy Arozarena,TBR,AL,645,0.327,0.445,0.773,0.325,0.638,0.334,0.656,0.46,0.638,0.811,0.079,0.263,0.071,0.242,19290
Ronald Acuna Jr.,ATL,NL,533,0.351,0.413,0.764,0.331,0.669,0.285,0.762,0.479,0.669,0.83,0.128,0.266,0.099,0.236,18401
C.J. Cron,COL,NL,632,0.315,0.468,0.783,0.307,0.651,0.358,0.644,0.477,0.651,0.869,0.108,0.257,0.068,0.259,12546
Gio Urshela,MIN,AL,551,0.338,0.429,0.767,0.326,0.731,0.397,0.72,0.531,0.731,0.876,0.07,0.285,0.074,0.174,10681
Sean Murphy,OAK,AL,612,0.332,0.426,0.759,0.29,0.671,0.34,0.721,0.493,0.671,0.853,0.105,0.25,0.092,0.203,19352
Corey Seager,TEX,AL,663,0.317,0.455,0.772,0.242,0.53,0.351,0.819,0.545,0.53,0.882,0.105,0.245,0.087,0.155,13624
Matt Chapman,TOR,AL,621,0.324,0.433,0.757,0.277,0.619,0.229,0.679,0.418,0.619,0.797,0.129,0.229,0.11,0.274,16505
DJ LeMahieu,NYY,AL,541,0.357,0.377,0.734,0.285,0.803,0.276,0.547,0.394,0.803,0.92,0.053,0.261,0.124,0.131,9874
Gleyber Torres,NYY,AL,572,0.31,0.451,0.761,0.295,0.62,0.315,0.749,0.494,0.62,0.824,0.107,0.257,0.068,0.226,16997
Christian Yelich,MIL,NL,671,0.355,0.383,0.738,0.327,0.576,0.262,0.682,0.431,0.576,0.885,0.082,0.252,0.131,0.241,11477
Rowdy Tellez,MIL,NL,599,0.306,0.461,0.767,0.215,0.679,0.31,0.605,0.433,0.679,0.857,0.129,0.219,0.104,0.202,15679
Andrew Vaughn,CHW,AL,555,0.321,0.429,0.75,0.301,0.694,0.355,0.632,0.47,0.694,0.898,0.079,0.271,0.056,0.173,26197
Josh Rojas,ARI,NL,510,0.349,0.391,0.739,0.323,0.682,0.225,0.651,0.408,0.682,0.852,0.045,0.269,0.108,0.192,19734
Ryan McMahon,COL,NL,597,0.327,0.414,0.741,0.311,0.6,0.285,0.662,0.452,0.6,0.83,0.104,0.246,0.101,0.265,15112
Willy Adames,MIL,NL,617,0.298,0.458,0.756,0.278,0.595,0.337,0.724,0.496,0.595,0.836,0.13,0.238,0.079,0.269,15986
Adolis Garcia,TEX,AL,657,0.3,0.456,0.756,0.309,0.592,0.403,0.755,0.535,0.592,0.769,0.129,0.25,0.061,0.279,19287
Seth Brown,OAK,AL,555,0.305,0.444,0.749,0.273,0.541,0.329,0.707,0.481,0.541,0.858,0.13,0.23,0.092,0.263,18171
Daulton Varsho,ARI,NL,592,0.302,0.443,0.745,0.269,0.676,0.348,0.687,0.499,0.676,0.823,0.102,0.235,0.078,0.245,19918
Brendan Rodgers,COL,NL,581,0.325,0.408,0.733,0.304,0.647,0.314,0.74,0.494,0.647,0.88,0.072,0.266,0.079,0.174,17907
Jurickson Profar,SDP,NL,658,0.331,0.391,0.723,0.272,0.726,0.27,0.655,0.433,0.726,0.887,0.04,0.243,0.111,0.157,10815
Jake Cronenworth,SDP,NL,684,0.333,0.394,0.727,0.277,0.697,0.254,0.615,0.417,0.697,0.913,0.056,0.24,0.102,0.192,18036
Nico Hoerner,CHC,NL,517,0.327,0.41,0.736,0.3,0.77,0.362,0.671,0.491,0.77,0.939,0.026,0.281,0.054,0.11,21479
Alex Verdugo,BOS,AL,644,0.328,0.405,0.732,0.309,0.727,0.29,0.649,0.452,0.727,0.933,0.06,0.28,0.065,0.134,17027
Thairo Estrada,SFG,NL,541,0.322,0.402,0.724,0.29,0.692,0.356,0.687,0.488,0.692,0.908,0.044,0.26,0.061,0.165,16426
Max Muncy,LAD,NL,565,0.329,0.384,0.713,0.227,0.593,0.212,0.617,0.384,0.593,0.823,0.134,0.196,0.159,0.25,13301
Tommy Edman,STL,NL,630,0.324,0.4,0.725,0.308,0.675,0.342,0.638,0.467,0.675,0.909,0.062,0.265,0.073,0.176,19470
Marcus Semien,TEX,AL,724,0.304,0.429,0.733,0.263,0.647,0.29,0.747,0.472,0.647,0.903,0.068,0.248,0.073,0.166,12533
Ketel Marte,ARI,NL,558,0.321,0.407,0.727,0.276,0.734,0.307,0.685,0.46,0.734,0.863,0.061,0.24,0.099,0.181,13613
Charlie Blackmon,COL,NL,577,0.314,0.419,0.733,0.304,0.72,0.359,0.718,0.514,0.72,0.875,0.044,0.264,0.055,0.189,7859
Patrick Wisdom,CHC,NL,534,0.298,0.426,0.725,0.274,0.481,0.3,0.734,0.48,0.481,0.77,0.142,0.207,0.099,0.343,13602
Ryan Mountcastle,BAL,AL,609,0.305,0.423,0.729,0.303,0.624,0.41,0.815,0.563,0.624,0.808,0.15,0.25,0.071,0.253,18373
Cedric Mullins II,BAL,AL,672,0.318,0.403,0.721,0.299,0.723,0.342,0.717,0.507,0.723,0.864,0.049,0.258,0.07,0.188,17929
Randal Grichuk,COL,NL,538,0.299,0.425,0.724,0.309,0.621,0.369,0.715,0.506,0.621,0.889,0.068,0.259,0.045,0.236,10243
Austin Hays,BAL,AL,582,0.306,0.413,0.719,0.289,0.642,0.397,0.68,0.509,0.642,0.904,0.052,0.25,0.058,0.196,19363
Luis Rengifo,LAA,AL,511,0.294,0.429,0.724,0.285,0.689,0.399,0.786,0.557,0.689,0.877,0.054,0.264,0.033,0.155,19858
Ha-seong Kim,SDP,NL,582,0.325,0.383,0.708,0.29,0.743,0.275,0.623,0.431,0.743,0.883,0.042,0.251,0.088,0.172,27506
Jesse Winker,SEA,AL,547,0.344,0.344,0.688,0.251,0.648,0.223,0.72,0.432,0.648,0.883,0.076,0.219,0.154,0.188,13590
Wilmer Flores,SFG,NL,602,0.316,0.394,0.71,0.246,0.716,0.307,0.681,0.456,0.716,0.901,0.063,0.229,0.098,0.171,5827
Trey Mancini,- - -,,587,0.319,0.391,0.71,0.286,0.598,0.334,0.694,0.481,0.598,0.851,0.095,0.239,0.09,0.23,15149
Luke Voit,- - -,,568,0.308,0.402,0.71,0.298,0.461,0.344,0.807,0.52,0.461,0.765,0.147,0.226,0.097,0.315,14811
Eduardo Escobar,NYM,NL,542,0.295,0.43,0.726,0.281,0.643,0.381,0.747,0.524,0.643,0.847,0.094,0.24,0.074,0.238,6153
Amed Rosario,CLE,AL,670,0.312,0.403,0.715,0.326,0.734,0.425,0.684,0.531,0.734,0.884,0.045,0.283,0.037,0.166,15518
Bobby Witt Jr.,KCR,AL,632,0.294,0.428,0.722,0.295,0.668,0.373,0.731,0.518,0.668,0.856,0.087,0.254,0.047,0.214,25764
MJ Melendez,KCR,AL,534,0.313,0.393,0.706,0.258,0.627,0.278,0.687,0.446,0.627,0.813,0.104,0.217,0.124,0.245,22197
Elvis Andrus,- - -,,577,0.303,0.404,0.707,0.272,0.696,0.328,0.63,0.454,0.696,0.887,0.045,0.249,0.068,0.159,8709
Alec Bohm,PHI,NL,631,0.315,0.398,0.713,0.319,0.727,0.354,0.738,0.512,0.727,0.871,0.068,0.28,0.049,0.174,21618
Jeremy Pena,HOU,AL,558,0.289,0.426,0.715,0.298,0.527,0.41,0.766,0.547,0.527,0.873,0.096,0.253,0.039,0.242,21636
Andrew McCutchen,MIL,NL,580,0.316,0.384,0.7,0.278,0.598,0.249,0.716,0.449,0.598,0.858,0.086,0.237,0.098,0.214,9847
Kyle Farmer,CIN,NL,583,0.315,0.386,0.701,0.286,0.701,0.388,0.663,0.502,0.701,0.917,0.044,0.255,0.057,0.17,14813
Carlos Santana,- - -,,506,0.316,0.376,0.692,0.209,0.704,0.257,0.666,0.426,0.704,0.859,0.093,0.202,0.14,0.174,2396
Lane Thomas,WSN,NL,548,0.301,0.404,0.705,0.291,0.687,0.295,0.633,0.441,0.687,0.89,0.065,0.241,0.075,0.241,16939
Mike Yastrzemski,SFG,NL,558,0.305,0.392,0.697,0.261,0.616,0.254,0.64,0.422,0.616,0.885,0.111,0.214,0.109,0.253,14854
J.P. Crawford,SEA,AL,603,0.339,0.336,0.675,0.275,0.771,0.243,0.63,0.41,0.771,0.926,0.02,0.243,0.113,0.133,15491
Nick Castellanos,PHI,NL,558,0.305,0.389,0.694,0.326,0.548,0.436,0.779,0.57,0.548,0.835,0.066,0.263,0.052,0.233,11737
Tommy Pham,- - -,,622,0.312,0.374,0.686,0.304,0.557,0.255,0.628,0.42,0.557,0.873,0.079,0.236,0.09,0.268,2967
Josh Donaldson,NYY,AL,546,0.308,0.374,0.682,0.283,0.589,0.327,0.691,0.473,0.589,0.755,0.098,0.222,0.099,0.271,5038
Marcell Ozuna,ATL,NL,507,0.274,0.413,0.687,0.252,0.582,0.361,0.699,0.494,0.582,0.849,0.131,0.226,0.061,0.241,10324
A.J. Pollock,CHW,AL,527,0.292,0.389,0.681,0.278,0.636,0.379,0.761,0.536,0.636,0.882,0.094,0.245,0.061,0.186,9256
Ke'Bryan Hayes,PIT,NL,560,0.314,0.345,0.659,0.307,0.658,0.3,0.635,0.433,0.658,0.921,0.039,0.244,0.086,0.218,18577
Whit Merrifield,- - -,,550,0.298,0.375,0.673,0.276,0.738,0.35,0.715,0.505,0.738,0.875,0.042,0.25,0.069,0.155,11281
Nelson Cruz,WSN,NL,507,0.313,0.337,0.651,0.295,0.571,0.352,0.748,0.507,0.571,0.801,0.093,0.234,0.097,0.235,2434
Javier Baez,DET,AL,590,0.278,0.393,0.671,0.292,0.553,0.487,0.691,0.558,0.553,0.815,0.08,0.238,0.044,0.249,12979
Jesus Aguilar,- - -,,507,0.281,0.379,0.661,0.278,0.645,0.389,0.657,0.492,0.645,0.847,0.067,0.235,0.055,0.235,11342
Tony Kemp,OAK,AL,558,0.307,0.334,0.641,0.259,0.797,0.33,0.682,0.484,0.797,0.936,0.016,0.235,0.081,0.124,14894
Isiah Kiner-Falefa,NYY,AL,531,0.314,0.327,0.642,0.296,0.818,0.331,0.596,0.447,0.818,0.956,0.012,0.261,0.066,0.136,16512
Yuli Gurriel,HOU,AL,584,0.288,0.36,0.647,0.266,0.801,0.379,0.653,0.486,0.801,0.937,0.019,0.242,0.051,0.125,19198
Cody Bellinger,LAD,NL,550,0.265,0.389,0.654,0.255,0.686,0.345,0.705,0.498,0.686,0.809,0.083,0.21,0.069,0.273,15998
Cesar Hernandez,WSN,NL,617,0.311,0.318,0.629,0.309,0.673,0.293,0.707,0.466,0.673,0.886,0.024,0.248,0.073,0.185,10556
Jorge Mateo,BAL,AL,533,0.267,0.379,0.646,0.286,0.55,0.394,0.728,0.531,0.55,0.836,0.059,0.221,0.051,0.276,17273
Trent Grisham,SDP,NL,524,0.284,0.341,0.626,0.231,0.634,0.23,0.581,0.379,0.634,0.822,0.081,0.184,0.109,0.286,18564
Adam Frazier,SEA,AL,602,0.301,0.311,0.612,0.268,0.782,0.327,0.7,0.486,0.782,0.926,0.015,0.238,0.076,0.121,15223
Miguel Rojas,MIA,NL,507,0.283,0.323,0.605,0.258,0.709,0.344,0.668,0.476,0.709,0.959,0.019,0.236,0.051,0.12,7802
Myles Straw,CLE,AL,596,0.291,0.273,0.564,0.261,0.784,0.234,0.599,0.404,0.784,0.939,0.007,0.221,0.091,0.146,17620
Jonathan Schoop,DET,AL,510,0.239,0.322,0.561,0.234,0.611,0.408,0.768,0.555,0.611,0.856,0.048,0.202,0.037,0.21,11265
